_unit_id,_unit_state,_trusted_judgments,_last_judgment_at,relevant,relevant:confidence,message,msg_id,relevant_gold,user_id
946827640,finalized,5,5/5/2016 03:25:18,supportive_messages_or_helpful_information_to_prevent_suicide,0.8434,"Suicide doesn't end the chances of getting worse, it eliminates the possibility of getting better. #SuicideQuotes http://LINK",480806951459508225,,66394878
946827641,finalized,5,5/5/2016 03:56:54,other,0.5395,"when I get into a mood where im on kill mode , you better have some shit to shut me down or your ass gon be on suicide watch when I'm done!",546882938017968128,,50396482
946827642,finalized,5,5/5/2016 03:25:58,reaction_to_suicide_news_movie_music,0.7965,"@SOMEONE If we are talking about numbers, we will cross 1000. That is how many were hanged, burned alive or commited suicide out of fear.",457586934299496448,,2172747780
946827643,finalized,5,5/5/2016 03:22:59,supportive_messages_or_helpful_information_to_prevent_suicide,0.8322,"I heard someone today call suicide ""the cowards way out"" and this friends is why we need a serious conversation about mental health.",502854499845697537,,451332647
946827644,finalized,5,5/5/2016 03:56:54,reaction_to_suicide_news_movie_music,0.8487,a kid in lake mary committed suicide yesterday at his school campus due to bullying #resteasybuddy #suicideawareness,510396671352913920,,2352249061
946827645,finalized,5,5/5/2016 03:50:48,suicidal_thoughts,1.0,Wonder if I died and am in hell...depression is eating at me bad last couple of days...,522406210658897921,,30458278
946827646,finalized,5,5/5/2016 03:25:57,supportive_messages_or_helpful_information_to_prevent_suicide,1.0,"WE need to talk about Depression Hello there ,Do you need help with depression? Then worry not this helped me out. http://LINK",478179457451433985,,1398987876
946827647,finalized,5,5/5/2016 03:24:00,suicidal_thoughts,0.5702,High school is a joke I have dealt with depression all my school life. Done school done with this stress shit#fuckYouSchool,529691075896942592,,2188639593
946827648,finalized,5,5/5/2016 03:51:21,reaction_to_suicide_news_movie_music,0.7598,"""Comic actor Robin Williams apparently died of asphyxia due to hanging, Marin County Sheriff's Lt. Keith Boyd says."" via @SOMEONE",499265489303240705,,106327709
946827649,finalized,5,5/5/2016 03:26:11,reaction_to_suicide_news_movie_music,0.532,"Photo: suicidal-monsterr: devotedtothedemonsinside: suicide, sh, depressive &amp; advice blog - follow back... http://LINK",457212851338612736,,113818727
946827650,finalized,5,5/5/2016 03:22:59,reaction_to_suicide_news_movie_music,0.8322,THREE WOMEN COMMIT SUICIDE IN MORANG IN TWO DAYS &gt;&gt;&gt; http://LINK,559302537137106944,,479444314
946827651,finalized,5,5/5/2016 03:24:51,suicidal_thoughts,0.5868,"Fact: i'm live streaming g2b everyday Another fact: if internet doesn't work, imma kill myself. #suicide #G2BChancesAre off-topic",433947710652030977,,116186838
946827652,finalized,5,5/5/2016 03:22:11,supportive_messages_or_helpful_information_to_prevent_suicide,0.5969,"""Did you really want to die? ""No one commits suicide because they want to die. ""Then why do they do it? ""Because they want to stop the pain.",500462899928629250,,1565942839
946827653,finalized,5,5/5/2016 03:51:21,reaction_to_suicide_news_movie_music,0.6078,Father of missing Oakland toddler Daphne Webb commits suicide | http://LINK,490582491359875072,,25473911
946827654,finalized,5,5/5/2016 03:25:18,reaction_to_suicide_news_movie_music,0.8014,"Can't be a real headline. RT @SOMEONE Gene Simmons to depression sufferers: ""fuck you, then kill yourself."" http://LINK",500396663606116352,,23723046
946827655,finalized,5,5/5/2016 03:26:25,suicidal_thoughts,0.5621,Dear depression and social anxiety: Fuck you.,552295108750888960,,2322618001
946827656,finalized,5,5/5/2016 03:23:56,supportive_messages_or_helpful_information_to_prevent_suicide,0.8112,Veronica needs to seek help and spend her time in a mental institution because of the picture she just posted,534099953409617920,,464117425
946827657,finalized,5,5/5/2016 03:26:25,supportive_messages_or_helpful_information_to_prevent_suicide,0.5811,very saddened to hear about recent tragedies of students at my old high school w.t woodson. Please seek help if you're feeling overwhelmed.,439604608525434881,,421365990
946827658,finalized,5,5/5/2016 03:22:11,reaction_to_suicide_news_movie_music,0.8211,"Robin Williams hanged himself, sheriff says #Chicago http://LINK",499344296189759488,,205511066
946827659,finalized,5,5/5/2016 03:23:10,supportive_messages_or_helpful_information_to_prevent_suicide,0.8057,Every 40 seconds some one in the world dies by #suicide. Reaching out to a friend in need may help save their life. #StayStrong #StopSuicide,483464747157708800,,513883865
946827660,finalized,5,5/5/2016 03:25:57,reaction_to_suicide_news_movie_music,0.431,#Health 12 facts about depression and suicide in America  Vox http://LINK,500696933649092609,,2515026524
946827661,finalized,5,5/5/2016 03:23:40,reaction_to_suicide_news_movie_music,0.8552,Death of girl group singer Simone Battle ruled a suicide by hanging; 25-year-old found at home: The death of g... http://LINK,508979937588420609,,600844451
946827662,finalized,5,5/5/2016 03:25:58,other,0.6,Peoria PD seek help locating 12-year-old boy: Police are asking for the public's help in locating a Peoria boy who http://LINK,563773508816080896,,60330037
946827663,finalized,5,5/5/2016 03:24:14,reaction_to_suicide_news_movie_music,0.6184,RIP Robin Williams. Reach out to the people you know who battle depression because it really can kill. Support mental health charities.,499122284452663296,,1275137971
946827664,finalized,5,5/5/2016 03:24:34,supportive_messages_or_helpful_information_to_prevent_suicide,0.4013,@SOMEONE ugh so sad. he was recently in rehab too. the twin cocktail of drugs&amp;depression is probably our greatest public health threat :(,498993042167042051,,16554333
946827665,finalized,5,5/5/2016 03:25:57,supportive_messages_or_helpful_information_to_prevent_suicide,0.7844,@SOMEONE @SOMEONE Thanks for cheering me and giving me great advice. Thank you for talking sense into me when I wanted to suicide.,499785085986422785,,468112834
946827666,finalized,5,5/5/2016 03:22:59,suicidal_thoughts,0.8029,"My depression is getting so bad. Nothing excites me, everything makes me feel horrible about myself. This needs to stop #feelinglost",527320799821463553,,1949796974
946827667,finalized,5,5/5/2016 03:24:00,reaction_to_suicide_news_movie_music,0.8395,"After North Carolina teen's hanging ruled a suicide, FBI opens inquiry http://LINK",543578958189457408,,1645080612
946827668,finalized,5,5/5/2016 03:25:06,reaction_to_suicide_news_movie_music,0.8284,Williams death confirmed a suicide: Famed actor and comedian Robin Williams had been treated for depression and took his own life at ...,499268531406389248,,1059429284
946827669,finalized,5,5/5/2016 03:25:57,reaction_to_suicide_news_movie_music,0.6465,"1,892 US #veterans have committed #suicide since January 1st of THIS YEAR. http://LINK",450105887948959744,,462516939
946827670,finalized,5,5/5/2016 03:24:14,suicidal_thoughts,0.6184,you can't understand what it's like to be have depression unless you have it. it's not like sadness or feeling down. you actually dont feel-,498990326208413696,,984945348
946827671,finalized,5,5/5/2016 03:24:34,reaction_to_suicide_news_movie_music,0.4261,Hook. Jumanji. Popeye. Jack. Mrs Doubtfire. Aladdin. And many more. Thank you Robin Williams. We will miss you! #riprobinwilliams,498973242972176384,,42150005
946827672,finalized,5,5/5/2016 03:25:58,suicidal_thoughts,1.0,I tried committing suicide two days ago I stilll wish I was dead if I had theirs follows I would never want to again 8,526072596702724096,,1656520632
946827673,finalized,5,5/5/2016 03:23:40,reaction_to_suicide_news_movie_music,0.8552,"New Delhi, May 18 A 47-year-old Buddhist monk from Arunachal Pradesh committed suicide by hanging himself from a ... http://LINK",468001437260079105,,2333220212
946827674,finalized,5,5/5/2016 03:25:06,supportive_messages_or_helpful_information_to_prevent_suicide,1.0,Fighting Depression and Suicide With Love http://LINK,525825501525315584,,159840442
946827675,finalized,5,5/5/2016 03:24:34,other,0.5987,I always get really sad anons asking about depression and advice for dealing with it and other shitty stuff and it makes me feel so bad,486394450877644802,,1631450340
946827676,finalized,5,5/5/2016 03:23:56,suicidal_thoughts,1.0,"""@SOMEONE ""What does depression feel like?"" Every day, Every hour, min &amp; sec it eats me away and no one understands why I am the way I am",523264383578017792,,165369021
946827677,finalized,5,5/5/2016 03:24:01,other,0.598,Lawrence shows what a good friend he is by making fun of Kot's depression. Someone's not being honest with his feelings. #AsTheLawrenceTurns,450748471687921664,,426062225
946827678,finalized,5,5/5/2016 03:56:54,reaction_to_suicide_news_movie_music,0.8487,@SOMEONE Robin Williams just fucking killed himself. Shut up.,499015315955539969,,274449278
946827679,finalized,5,5/5/2016 03:23:56,suicidal_thoughts,0.6219,MY PHONE RESTART COMPLETELY IM GONNA COMMIT SUICIDE I HATE MY LIFE I HATE MY LIFE I HATE MY LIFE,484812388055539712,,807957973
946827680,finalized,5,5/5/2016 03:26:25,other,0.6093,my new depression medicine makes me feel so weird ,462280594278211584,,445632849
946827681,finalized,5,5/5/2016 03:26:11,supportive_messages_or_helpful_information_to_prevent_suicide,0.6614,"@SOMEONE #askgabeim5 YOU HELPED ME WITH DEPRESSION I LOVE YOU SO MUCH I can't thank you enough Please follow, reply",549740997442555905,,2760825163
946827682,finalized,5,5/5/2016 03:22:59,supportive_messages_or_helpful_information_to_prevent_suicide,1.0,"""@SOMEONE Cold showers are GOOD for you. They help relieve depression and help keep skin and hair healthy.""",556654618625601536,,1014671671
946827683,finalized,5,5/5/2016 03:24:34,other,0.5987,"In honour of the re-launched website, I thought I would post this essay on philosophical depression I wrote last... http://LINK",477856951213125632,,26353829
946827684,finalized,5,5/5/2016 03:22:11,reaction_to_suicide_news_movie_music,0.6244,"Great story! Learn how QPR can save lives. Watch @SOMEONE ""Breaking the Silence on Suicide"" special this Thurs 10pm http://LINK",535296489971404800,,2353481636
946827685,finalized,5,5/5/2016 03:22:11,suicidal_thoughts,0.5875,I'm safely diagnosing myself with depression  I don't currently have a cure for myself but I will start by shutting everyone out,538981485857222657,,2155116363
946827686,finalized,5,5/5/2016 03:24:01,reaction_to_suicide_news_movie_music,1.0,"This guy in res committed suicide and his body was discovered today, almost two weeks after the fact.",532304567846047744,,1660969386
946827687,finalized,5,5/5/2016 03:50:48,reaction_to_suicide_news_movie_music,0.8569,Mentally Ill Rikers Island Inmate Who Hanged Himself Was Supposed To Be On Suicide Watch http://LINK,551222419390623744,,1190205696
946827688,finalized,5,5/5/2016 03:50:48,supportive_messages_or_helpful_information_to_prevent_suicide,1.0,"People, if you need help I will try. Talk to someone. Don't even consider suicide. Happier days are ahead.",527827205255364608,,382329422
946827689,finalized,5,5/5/2016 03:25:58,reaction_to_suicide_news_movie_music,0.4151,Around half of cases of depression and anxiety during the perinatal...: The cost of mental health problems amo... http://LINK,524330994204020736,,41783785
946827690,finalized,5,5/5/2016 03:23:10,supportive_messages_or_helpful_information_to_prevent_suicide,0.8047,"Clinical depression is a mental illness just like bipolar disorder, schizophrenia and GAD. All should be taken seriously.",498972891254632448,,22851553
946827691,finalized,5,5/5/2016 03:25:58,other,0.5779,"A muslim believes he is weak bec he knows that, happy or sad, he needs to seek help from ALLAH The Almighty hihi ^^",447777052641329152,,315037581
946827692,finalized,5,5/5/2016 03:26:25,other,0.4379,Why did my doctor diagnose depression when I do not feel depressed? - http://LINK,510759176893902848,,980026334
946827693,finalized,5,5/5/2016 03:23:40,suicidal_thoughts,0.6263,@SOMEONE LOL. Fucker. Depression &amp;&amp; life hit me ,455565651289964544,,2344707829
946827694,finalized,5,5/5/2016 03:25:18,reaction_to_suicide_news_movie_music,0.8434,Robin Williams really died 50 days ago got damn where the time going,517796061633843200,,243880257
946827695,finalized,5,5/5/2016 03:24:50,reaction_to_suicide_news_movie_music,0.8058,#USAHeadlines Did Robin Williams Battle With Spouse Susan Schneider Earlier than Chopping Wrists and Hanging S... http://LINK,499643124197490689,,1041541807
946827696,finalized,5,5/5/2016 03:24:51,reaction_to_suicide_news_movie_music,0.8506,"Robin Williams Hanged Himself With Belt, Coroner Confirms http://LINK",499287505406283777,,600781093
946827697,finalized,5,5/5/2016 03:24:01,other,1.0,http://LINK,530237717699784704,,98838802
946827698,finalized,5,5/5/2016 03:23:10,reaction_to_suicide_news_movie_music,1.0,Suicide Bomba Killz 48 Studintz n' Nigeria: A suicide bomba disguise' n' school uniform http://LINK,531756830741905408,,598692139
946827699,finalized,5,5/5/2016 03:23:56,supportive_messages_or_helpful_information_to_prevent_suicide,0.7799,@SOMEONE Personal blog in honour of @SOMEONE forever missed. Please RT to get people talking #Depression http://LINK,501148022064300033,,39068440
946827700,finalized,5,5/5/2016 03:23:40,reaction_to_suicide_news_movie_music,0.7962,John Alan Lee pushes limits of Canada's assisted suicide debate - Health - CBC News http://LINK,463906946148360193,,300614730
946827701,finalized,5,5/5/2016 03:56:54,reaction_to_suicide_news_movie_music,0.8407,"Police confirm Robin Williams hanged himself, depression likely reason - Hindustan Times http://LINK",499481184783437824,,25482342
946827702,finalized,5,5/5/2016 03:26:25,suicidal_thoughts,0.3804,"I swear the way this kid be tweeting you would think he was about to commit suicide, MAN the fuck up dude! Shut up",533421385574801410,,416278432
946827703,finalized,5,5/5/2016 03:25:57,suicidal_thoughts,0.597,my mentor was talking about depression and I was like shut up and I was almost crying,510431956077936641,,2469719458
946827704,finalized,5,5/5/2016 03:24:50,reaction_to_suicide_news_movie_music,0.8076,^Tumblr holds meeting with government over suicide blogs http://LINK,449558549799399424,,1279811647
946827705,finalized,5,5/5/2016 03:23:10,reaction_to_suicide_news_movie_music,0.6086,If they were found hanging inside of the basement usually it's suicide no 7 year old would do that with their mother I'm pissed,563936390124433409,,2888813115
946827706,finalized,5,5/5/2016 03:25:18,supportive_messages_or_helpful_information_to_prevent_suicide,0.7907,Photo: boys-and-suicide: Reblog so people on your blog know you will not put up with any of this. http://LINK,527691950489890817,,392377635
946827707,finalized,5,5/5/2016 03:24:00,reaction_to_suicide_news_movie_music,0.624,"TeeNz HANgiNG, rULE A suIciDe, LEavES queztIonz UnANSWEa: A young black dude be ea. Teh 5-0 http://LINK",544026913983840256,,1377927978
946827708,finalized,5,5/5/2016 03:26:11,reaction_to_suicide_news_movie_music,1.0,Afghan official: Suicide attack kills at least 45 people at volleyball tournament in east. @SOMEONE @SOMEONE,536549727538806784,,2369037944
946827709,finalized,5,5/5/2016 03:24:51,other,0.5626,Haven't been to the gym in a few weeks because of losing the battle of depression. Feels good...,446935885226188800,,480771419
946827710,finalized,5,5/5/2016 03:22:11,reaction_to_suicide_news_movie_music,0.8089,"I know people are tired of hearing about Robin Williams, but honestly it's just a devastating blow to the heart. I feel like a piece of my",499198433740488705,,88249139
946827711,finalized,5,5/5/2016 03:24:50,supportive_messages_or_helpful_information_to_prevent_suicide,1.0,@SOMEONE Cuddling literally kills depression and relieves anxiety.,436714124190289920,,2305912309
946827712,finalized,5,5/5/2016 03:25:06,reaction_to_suicide_news_movie_music,0.6035,@SOMEONE people just want to express their sad feels. Just let it be. Robin Williams was loved by many. ,499047240405504001,,388419158
946827713,finalized,5,5/5/2016 03:24:01,supportive_messages_or_helpful_information_to_prevent_suicide,0.5986,@SOMEONE I have #ptsd&amp; extreme #depression &amp; been fighting #Suicidalthoughts 4 almost 2 yrs. I  ur music &amp; dwnlded it all 4 uplift,457733576063078402,,295357643
946827714,finalized,5,5/5/2016 03:26:11,supportive_messages_or_helpful_information_to_prevent_suicide,0.6345,#getridofdepression strategy to discover the most effective get rid of depression bargains on the web http://LINK,450696268252061696,,2420856302
946827715,finalized,5,5/5/2016 03:51:21,reaction_to_suicide_news_movie_music,0.6406,@SOMEONE It is being said apparent suicide asphyxiation (hanging),498970262881443840,,23204498
946827716,finalized,5,5/5/2016 03:51:21,reaction_to_suicide_news_movie_music,0.7598,"#Florida Suicide bombing, shelling kill 14 in Baghdad: Suicide bombing, shelling kill 14 in Baghdad ... http://LINK",512870141810319362,,1616793793
946827717,finalized,5,5/5/2016 03:24:14,other,0.6015,@SOMEONE What is depression... http://LINK,451522499113922560,,2181363975
946827718,finalized,5,5/5/2016 03:24:00,reaction_to_suicide_news_movie_music,0.8395,Check this out Robin Williams Died in an Apparent Suicide by Hanging - ABC News: ABC NewsRobin ... http://LINK,499267002058289152,,2387019720
946827719,finalized,5,5/5/2016 03:22:59,supportive_messages_or_helpful_information_to_prevent_suicide,0.8322,"Foto: pleasecutmywrists: Depression blog. Youre not alone, keep fighting. http://LINK",460542609329774592,,746076062
946827720,finalized,5,5/5/2016 03:24:14,supportive_messages_or_helpful_information_to_prevent_suicide,0.4376,"#BellLetsTalk because 4000 Canadian teens commit suicide every year, and don't get to see the brighter side that life has to offer",560444896763723777,,1122676188
946827721,finalized,5,5/5/2016 03:25:06,reaction_to_suicide_news_movie_music,0.8284,It's just such a big deal. Robin Williams is gone! He left. Left us all to it. I miss him.,499187599396044800,,114431945
946827722,finalized,5,5/5/2016 03:24:51,other,0.8506,Bye miiya &amp; I'm not goin through a depression I just don't like fuck niggas ! Shit wasted my 7 months and 4 days hell I could've been pimpin,485552298186129408,,852781634
946827723,finalized,5,5/5/2016 03:23:40,other,0.7808,"Depression Quest was pretty fun, but webmd was REALLY challenging. ALL THOSE BIG WORDS. #GamerGate",509222244304695296,,2785040059
946827724,finalized,5,5/5/2016 03:25:06,other,1.0,So wordpress was ugly so turned to my old pal tumblr http://LINK,551185917843898368,,548876533
946827725,finalized,5,5/5/2016 03:23:10,suicidal_thoughts,0.8051,I need help via /r/depression http://LINK,539249123850219520,,2808605846
946827726,finalized,5,5/5/2016 03:24:00,supportive_messages_or_helpful_information_to_prevent_suicide,0.8221,Life is about constant re-invention and adapting to change. Fuck suicide as a retirement option.,537621247526727680,,998009144
946827727,finalized,5,5/5/2016 03:23:56,reaction_to_suicide_news_movie_music,0.7874,"@SOMEONE NEWS: Robin Williams committed suicide by hanging himself, police say http://LINK",499279553731117057,,380008073
946827728,finalized,5,5/5/2016 03:24:34,reaction_to_suicide_news_movie_music,1.0,Investigators: Robin Williams hanged himself - SFGate http://LINK,499272128613478400,,597430601
946827729,finalized,5,5/5/2016 03:24:50,reaction_to_suicide_news_movie_music,1.0,"Questions In The Hanging Death Of Lennon Lacy, Was His Death Murder Or Suicide? http://LINK",524345121253634048,,27251427
946827730,finalized,5,5/5/2016 03:56:54,reaction_to_suicide_news_movie_music,0.6895,UPDATE: Robin Williams committed suicide by hanging himself - Sheriff's office,499256719877210113,,64643056
946827731,finalized,5,5/5/2016 03:50:48,reaction_to_suicide_news_movie_music,0.8569,"Latest : Assam Schoolgirls Found Hanging From Tree Committed Suicide, Were Not ... - NDTV: NDTVAss... http://LINK",508301508094337024,,2291453509
946827732,finalized,5,5/5/2016 03:50:48,reaction_to_suicide_news_movie_music,0.6556,"Canada: Forcing healthcare personnel to become complicit in both suicide and murder, through mandated cooperation. http://LINK",433344795621085184,,28338436
946827733,finalized,5,5/5/2016 03:24:01,other,0.598,"In the late 19th century in Great Britain, attempted suicide was deemed to be equivalent to attempted murder &amp; could be punished by hanging.",531699108340568064,,1651919431
946827734,finalized,5,5/5/2016 03:24:50,supportive_messages_or_helpful_information_to_prevent_suicide,0.6038,A friend of mine has left this world to soon...I will miss him...for one brief moment he must have felt all alone...suicide is always rough,444003323335548928,,335411381
946827735,finalized,5,5/5/2016 03:51:21,supportive_messages_or_helpful_information_to_prevent_suicide,0.4268,I hate when people say they're depressed because something didn't go the way they wanted. I suffer from bipolar depression so shut the,439962514709692417,,92533027
946827736,finalized,5,5/5/2016 03:25:18,supportive_messages_or_helpful_information_to_prevent_suicide,0.6341,Pele dont commit suicide you hear!  the struggle @SOMEONE Why did Lagos FailBuhari like this today? GEJ carry dey go...#IchooseGEJ,561215241086717953,,143042649
946827737,finalized,5,5/5/2016 03:24:14,supportive_messages_or_helpful_information_to_prevent_suicide,0.4376,Foto: just-a-scratch-just-a-scar: Man Overboard // How To Hide Your Feelings bands/depression blog http://LINK,462964090043125760,,184968412
946827738,finalized,5,5/5/2016 03:26:11,supportive_messages_or_helpful_information_to_prevent_suicide,0.468,@SOMEONE @SOMEONE @SOMEONE There is a suicide crisis in Ireland that you all seem to ignore - NOSP needs review and overhaul.,454273762633199616,,631119632
946827739,finalized,5,5/5/2016 03:24:51,supportive_messages_or_helpful_information_to_prevent_suicide,0.6466,if you judge someone bc of their depression/mental health issues you are a piece of shit,525558452655906816,,2791184857
